Дата,Тип документа,Название,Количество,Цена,Сумма,Валовая прибыль (руб),Валовая прибыль (%),Сотрудник,Статус
05.03.2025 - 18:06,Заказ,16GB USB 2.0 Flash Drive SmartBuy,1,449,449,242,53.89755011135857,Администратор,Выдан
05.03.2025 - 18:08,Заказ,Кабель USB - Lightning (Foxconn),1,568,568,414,72.88732394366197,Администратор,Выдан
05.03.2025 - 18:41,Заказ,Аккумулятор Samsung Galaxy A51 (EB-BA515),1,1240,1240,709,57.17741935483871,Иванов Сергей,Выдан
06.03.2025 - 12:15,Заказ,Аккумулятор Samsung Galaxy A51 (EB-BA515),1,1188,1188,624,52.52525252525253,Администратор,Выдан
06.03.2025 - 14:23,Заказ,Чехол силиконовый прозрачный,1,289,289,230,79.58477508650519,Сидоров Алексей,Выдан
06.03.2025 - 14:52,Заказ,Блок питания Apple 20W (Copy),1,1302,1302,885,67.97235023041475,Петров Роман,Выдан
06.03.2025 - 17:36,Заказ,Наклейка защитного стекла (Услуга),2,205,410,410,100.0,Сидоров Алексей,Выдан
07.03.2025 - 10:16,Заказ,Блок питания Apple 20W (Copy),1,1124,1124,727,64.6797153024911,Петров Роман,Выдан
07.03.2025 - 13:27,Продажа,16GB USB 2.0 Flash Drive SmartBuy,1,444,444,246,55.4054054054054,Администратор,
07.03.2025 - 16:01,Заказ,Блок питания Apple 20W (Copy),2,1158,2316,1524,65.80310880829016,Сидоров Алексей,Выдан
08.03.2025 - 12:54,Заказ,Восстановление цепи питания,1,4808,4808,4319,89.82945091514142,Петров Роман,Выдан
08.03.2025 - 17:19,Продажа,Чехол силиконовый прозрачный,1,290,290,232,80.0,Сидоров Алексей,
08.03.2025 - 18:07,Заказ,Диагностика,1,542,542,542,100.0,Иванов Сергей,Выдан
09.03.2025 - 10:15,Заказ,Защитное стекло 3D для iPhone 11/XR,1,537,537,489,91.06145251396647,Петров Роман,Выдан
09.03.2025 - 17:52,Заказ,Диагностика,1,518,518,518,100.0,Сидоров Алексей,Выдан
09.03.2025 - 18:12,Заказ,16GB USB 2.0 Flash Drive SmartBuy,1,450,450,254,56.44444444444444,Администратор,Выдан
10.03.2025 - 12:29,Продажа,Защитное стекло 3D для iPhone 11/XR,1,549,549,500,91.07468123861567,Петров Роман,
10.03.2025 - 16:54,Заказ,Дисплей iPhone 11 (Копия AAA),1,2662,2662,1312,49.2862509391435,Иванов Сергей,Выдан
11.03.2025 - 16:36,Заказ,Прошивка Android/iOS,1,1018,1018,1018,100.0,Администратор,Выдан
11.03.2025 - 18:33,Заказ,16GB USB 2.0 Flash Drive SmartBuy,1,441,441,245,55.55555555555556,Администратор,Выдан
12.03.2025 - 12:46,Заказ,Кабель USB - Lightning (Foxconn),1,655,655,512,78.16793893129771,Петров Роман,Выдан
12.03.2025 - 19:35,Заказ,Кабель USB - Lightning (Foxconn),1,588,588,443,75.34013605442176,Сидоров Алексей,Выдан
13.03.2025 - 13:32,Заказ,Чистка системы охлаждения с заменой термопасты,1,1433,1433,1338,93.37055129099791,Сидоров Алексей,Выдан
13.03.2025 - 13:41,Заказ,Блок питания Apple 20W (Copy),1,1155,1155,755,65.36796536796537,Администратор,Выдан
13.03.2025 - 14:21,Заказ,Аккумулятор Samsung Galaxy A51 (EB-BA515),1,1125,1125,582,51.733333333333334,Сидоров Алексей,Выдан
13.03.2025 - 19:42,Продажа,Защитное стекло 3D для iPhone 11/XR,1,545,545,494,90.64220183486239,Сидоров Алексей,
13.03.2025 - 19:59,Заказ,Установка Windows 10/11 + Драйвера,1,1258,1258,1258,100.0,Петров Роман,Выдан
14.03.2025 - 10:02,Заказ,Диагностика,1,500,500,500,100.0,Администратор,Выдан
14.03.2025 - 12:41,Заказ,"15.6"" WXGA HD LED Глянцевый 40pin (NT156WH)",1,4069,4069,974,23.937085278938312,Петров Роман,Выдан
15.03.2025 - 14:41,Заказ,Защитное стекло 3D для iPhone 11/XR,1,506,506,454,89.72332015810277,Сидоров Алексей,Выдан
16.03.2025 - 10:06,Продажа,Кабель USB - Lightning (Foxconn),1,623,623,473,75.92295345104334,Петров Роман,
16.03.2025 - 11:50,Заказ,Чистка системы охлаждения с заменой термопасты,1,1503,1503,1407,93.6127744510978,Сидоров Алексей,Выдан
16.03.2025 - 14:54,Продажа,Жесткий диск Seagate BarraCuda 1TB,1,3841,3841,819,21.322572246810726,Администратор,
16.03.2025 - 16:23,Заказ,Установка Windows 10/11 + Драйвера,1,1193,1193,1193,100.0,Администратор,Выдан
16.03.2025 - 17:03,Заказ,Установка Windows 10/11 + Драйвера,1,1162,1162,1162,100.0,Петров Роман,Выдан
16.03.2025 - 18:08,Заказ,Кабель USB - Lightning (Foxconn),1,548,548,397,72.44525547445255,Сидоров Алексей,Выдан
17.03.2025 - 11:35,Продажа,SSD накопитель Kingston 240GB,1,2244,2244,775,34.53654188948306,Администратор,
17.03.2025 - 19:08,Продажа,Жесткий диск Seagate BarraCuda 1TB,1,3771,3771,891,23.627684964200476,Сидоров Алексей,
17.03.2025 - 19:32,Заказ,Защитное стекло 3D для iPhone 11/XR,1,544,544,497,91.36029411764706,Петров Роман,Выдан
18.03.2025 - 10:38,Заказ,Установка Windows 10/11 + Драйвера,1,1281,1281,1281,100.0,Сидоров Алексей,Выдан
18.03.2025 - 10:49,Продажа,Чехол силиконовый прозрачный,1,273,273,216,79.12087912087912,Иванов Сергей,
19.03.2025 - 10:42,Заказ,Чехол силиконовый прозрачный,1,309,309,249,80.58252427184466,Сидоров Алексей,Выдан
20.03.2025 - 19:32,Заказ,Аккумулятор Samsung Galaxy A51 (EB-BA515),1,1136,1136,605,53.25704225352113,Сидоров Алексей,Выдан
21.03.2025 - 12:18,Заказ,Прошивка Android/iOS,1,1018,1018,1018,100.0,Сидоров Алексей,Выдан
21.03.2025 - 12:58,Заказ,Диагностика,1,479,479,479,100.0,Администратор,Выдан
22.03.2025 - 14:18,Продажа,SSD накопитель Kingston 240GB,1,2360,2360,862,36.525423728813564,Сидоров Алексей,
22.03.2025 - 15:02,Заказ,Установка Windows 10/11 + Драйвера,1,1250,1250,1250,100.0,Иванов Сергей,Выдан
22.03.2025 - 15:50,Продажа,Защитное стекло 3D для iPhone 11/XR,1,532,532,481,90.41353383458647,Сидоров Алексей,
22.03.2025 - 16:21,Продажа,Кабель USB - Lightning (Foxconn),1,636,636,493,77.51572327044025,Петров Роман,
23.03.2025 - 11:16,Заказ,Диагностика,1,474,474,474,100.0,Петров Роман,Выдан
23.03.2025 - 13:28,Заказ,Чистка системы охлаждения с заменой термопасты,1,1504,1504,1409,93.68351063829788,Сидоров Алексей,Выдан
23.03.2025 - 14:39,Заказ,Диагностика,1,515,515,515,100.0,Администратор,Выдан
23.03.2025 - 15:08,Продажа,SSD накопитель Kingston 240GB,1,2037,2037,556,27.295041728031418,Иванов Сергей,
24.03.2025 - 10:56,Заказ,Установка Windows 10/11 + Драйвера,1,1159,1159,1159,100.0,Администратор,Выдан
24.03.2025 - 14:28,Заказ,Установка Windows 10/11 + Драйвера,1,1203,1203,1203,100.0,Иванов Сергей,Выдан
24.03.2025 - 15:27,Заказ,SSD накопитель Kingston 240GB,1,2064,2064,569,27.56782945736434,Сидоров Алексей,Выдан
25.03.2025 - 10:33,Заказ,SSD накопитель Kingston 240GB,1,2159,2159,724,33.53404353867531,Администратор,Выдан
26.03.2025 - 10:35,Продажа,Чехол силиконовый прозрачный,3,288,864,684,79.16666666666666,Иванов Сергей,
26.03.2025 - 12:14,Заказ,Восстановление цепи питания,1,4417,4417,3920,88.74801901743264,Сидоров Алексей,Выдан
26.03.2025 - 14:23,Заказ,Чистка системы охлаждения с заменой термопасты,1,1379,1379,1283,93.03843364757071,Администратор,Выдан
26.03.2025 - 17:47,Заказ,Защитное стекло 3D для iPhone 11/XR,1,459,459,409,89.10675381263616,Петров Роман,Выдан
27.03.2025 - 13:11,Заказ,"15.6"" WXGA HD LED Глянцевый 40pin (NT156WH)",1,4485,4485,1391,31.01449275362319,Иванов Сергей,Выдан
27.03.2025 - 15:22,Заказ,Диагностика,1,501,501,501,100.0,Петров Роман,Выдан
27.03.2025 - 17:14,Продажа,16GB USB 2.0 Flash Drive SmartBuy,1,464,464,264,56.896551724137936,Петров Роман,
27.03.2025 - 19:46,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1127,1127,1031,91.4818101153505,Администратор,Выдан
28.03.2025 - 10:05,Заказ,Защитное стекло 3D для iPhone 11/XR,1,534,534,482,90.2621722846442,Иванов Сергей,Выдан
28.03.2025 - 15:11,Заказ,Дисплей iPhone 11 (Копия AAA),1,2662,2662,1274,47.858752817430506,Сидоров Алексей,Выдан
28.03.2025 - 18:26,Заказ,Чехол силиконовый прозрачный,1,300,300,238,79.33333333333333,Петров Роман,Выдан
29.03.2025 - 10:07,Заказ,Чехол силиконовый прозрачный,1,315,315,253,80.31746031746032,Сидоров Алексей,Выдан
29.03.2025 - 11:06,Заказ,Кабель USB - Lightning (Foxconn),1,659,659,503,76.32776934749621,Петров Роман,Выдан
29.03.2025 - 15:37,Заказ,Защитное стекло 3D для iPhone 11/XR,1,544,544,493,90.625,Администратор,Выдан
29.03.2025 - 17:04,Заказ,Дисплей iPhone 11 (Копия AAA),1,2534,2534,1090,43.01499605367008,Сидоров Алексей,Выдан
30.03.2025 - 13:34,Продажа,Жесткий диск Seagate BarraCuda 1TB,1,3894,3894,880,22.598870056497177,Администратор,
30.03.2025 - 14:26,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1160,1160,1064,91.72413793103448,Петров Роман,Выдан
31.03.2025 - 10:13,Заказ,Кабель USB - Lightning (Foxconn),1,558,558,403,72.22222222222221,Сидоров Алексей,Выдан
31.03.2025 - 10:43,Заказ,Установка Windows 10/11 + Драйвера,1,1182,1182,1182,100.0,Администратор,Выдан
31.03.2025 - 12:25,Заказ,Прошивка Android/iOS,1,1060,1060,1060,100.0,Сидоров Алексей,Выдан
31.03.2025 - 14:56,Заказ,Восстановление цепи питания,1,4066,4066,3583,88.1210034431874,Иванов Сергей,Выдан
31.03.2025 - 15:32,Продажа,Защитное стекло 3D для iPhone 11/XR,1,475,475,427,89.89473684210526,Иванов Сергей,
31.03.2025 - 16:43,Заказ,Прошивка Android/iOS,1,1049,1049,1049,100.0,Сидоров Алексей,Выдан
31.03.2025 - 18:36,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1121,1121,1024,91.34701159678859,Администратор,Выдан
31.03.2025 - 18:38,Заказ,Диагностика,1,491,491,491,100.0,Сидоров Алексей,Выдан
01.04.2025 - 14:36,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1284,1284,1187,92.44548286604362,Иванов Сергей,Выдан
01.04.2025 - 17:16,Продажа,Чехол силиконовый прозрачный,1,323,323,266,82.35294117647058,Администратор,
02.04.2025 - 10:54,Заказ,Жесткий диск Seagate BarraCuda 1TB,1,4011,4011,1156,28.82074295686861,Сидоров Алексей,Выдан
02.04.2025 - 15:42,Продажа,Кабель USB - Lightning (Foxconn),1,563,563,418,74.24511545293073,Петров Роман,
02.04.2025 - 17:38,Продажа,Блок питания Apple 20W (Copy),1,1142,1142,746,65.32399299474606,Сидоров Алексей,
03.04.2025 - 10:17,Заказ,Чистка системы охлаждения с заменой термопасты,1,1425,1425,1321,92.7017543859649,Петров Роман,Выдан
03.04.2025 - 10:22,Заказ,Защитное стекло 3D для iPhone 11/XR,1,538,538,491,91.2639405204461,Петров Роман,Выдан
03.04.2025 - 10:25,Заказ,Чехол силиконовый прозрачный,1,322,322,260,80.74534161490683,Иванов Сергей,Выдан
03.04.2025 - 17:14,Заказ,Наклейка защитного стекла (Услуга),1,192,192,192,100.0,Администратор,Выдан
04.04.2025 - 10:22,Заказ,Чистка системы охлаждения с заменой термопасты,1,1479,1479,1379,93.23867478025693,Иванов Сергей,Выдан
05.04.2025 - 14:55,Заказ,Прошивка Android/iOS,1,976,976,976,100.0,Иванов Сергей,Выдан
05.04.2025 - 16:15,Заказ,Прошивка Android/iOS,1,1072,1072,1072,100.0,Иванов Сергей,Выдан
05.04.2025 - 17:12,Заказ,16GB USB 2.0 Flash Drive SmartBuy,1,413,413,210,50.847457627118644,Администратор,Выдан
06.04.2025 - 10:08,Заказ,Восстановление цепи питания,2,4121,8242,7260,88.08541616112593,Администратор,Выдан
06.04.2025 - 11:28,Заказ,Аккумулятор Samsung Galaxy A51 (EB-BA515),1,1230,1230,672,54.63414634146342,Иванов Сергей,Выдан
06.04.2025 - 13:57,Заказ,Замена разъема зарядки (MicroUSB/Type-C),2,1215,2430,2234,91.93415637860082,Петров Роман,Выдан
07.04.2025 - 11:44,Заказ,Дисплей iPhone 11 (Копия AAA),1,2539,2539,1209,47.61717211500591,Петров Роман,Выдан
07.04.2025 - 15:24,Заказ,Диагностика,1,514,514,514,100.0,Иванов Сергей,Выдан
07.04.2025 - 15:32,Заказ,Дисплей iPhone 11 (Копия AAA),1,2255,2255,874,38.75831485587583,Сидоров Алексей,Выдан
07.04.2025 - 16:45,Заказ,Замена разъема зарядки (MicroUSB/Type-C),2,1236,2472,2282,92.31391585760518,Иванов Сергей,Выдан
07.04.2025 - 16:51,Продажа,Кабель USB - Lightning (Foxconn),1,563,563,420,74.60035523978685,Сидоров Алексей,
07.04.2025 - 19:02,Заказ,Восстановление цепи питания,1,4775,4775,4279,89.61256544502618,Иванов Сергей,Выдан
08.04.2025 - 11:07,Заказ,Защитное стекло 3D для iPhone 11/XR,1,458,458,408,89.08296943231441,Администратор,Выдан
08.04.2025 - 11:45,Продажа,16GB USB 2.0 Flash Drive SmartBuy,1,426,426,228,53.52112676056338,Иванов Сергей,
09.04.2025 - 13:14,Заказ,16GB USB 2.0 Flash Drive SmartBuy,1,412,412,216,52.42718446601942,Администратор,Выдан
09.04.2025 - 15:35,Заказ,Прошивка Android/iOS,1,943,943,943,100.0,Петров Роман,Выдан
09.04.2025 - 17:46,Заказ,Чистка системы охлаждения с заменой термопасты,1,1568,1568,1466,93.49489795918367,Сидоров Алексей,Выдан
10.04.2025 - 12:50,Заказ,Диагностика,1,472,472,472,100.0,Администратор,Выдан
10.04.2025 - 14:21,Заказ,Чистка системы охлаждения с заменой термопасты,1,1473,1473,1378,93.55057705363204,Сидоров Алексей,Выдан
11.04.2025 - 14:46,Продажа,Блок питания Apple 20W (Copy),1,1226,1226,842,68.67862969004894,Сидоров Алексей,
11.04.2025 - 17:25,Заказ,Диагностика,1,519,519,519,100.0,Администратор,Выдан
12.04.2025 - 10:52,Заказ,Чистка системы охлаждения с заменой термопасты,1,1497,1497,1401,93.5871743486974,Администратор,Выдан
12.04.2025 - 12:54,Продажа,Чехол силиконовый прозрачный,1,282,282,225,79.7872340425532,Иванов Сергей,
12.04.2025 - 13:28,Заказ,Установка Windows 10/11 + Драйвера,1,1133,1133,1133,100.0,Петров Роман,Выдан
13.04.2025 - 14:04,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1255,1255,1160,92.43027888446214,Сидоров Алексей,Выдан
13.04.2025 - 19:09,Продажа,Защитное стекло 3D для iPhone 11/XR,1,450,450,398,88.44444444444444,Сидоров Алексей,
14.04.2025 - 10:39,Заказ,Защитное стекло 3D для iPhone 11/XR,2,539,1078,982,91.09461966604823,Администратор,Выдан
14.04.2025 - 13:41,Заказ,"15.6"" WXGA HD LED Глянцевый 40pin (NT156WH)",1,4145,4145,968,23.353437876960193,Иванов Сергей,Выдан
15.04.2025 - 13:52,Продажа,Чехол силиконовый прозрачный,1,306,306,249,81.37254901960785,Сидоров Алексей,
15.04.2025 - 14:14,Заказ,Чистка системы охлаждения с заменой термопасты,1,1419,1419,1323,93.23467230443974,Иванов Сергей,Выдан
15.04.2025 - 18:31,Заказ,Чехол силиконовый прозрачный,2,271,542,426,78.59778597785979,Петров Роман,Выдан
15.04.2025 - 19:40,Заказ,"15.6"" WXGA HD LED Глянцевый 40pin (NT156WH)",1,4507,4507,1364,30.264033725316175,Петров Роман,Выдан
16.04.2025 - 13:28,Заказ,Восстановление цепи питания,1,4572,4572,4078,89.19510061242345,Петров Роман,Выдан
16.04.2025 - 15:04,Заказ,16GB USB 2.0 Flash Drive SmartBuy,1,448,448,249,55.58035714285714,Иванов Сергей,Выдан
16.04.2025 - 18:08,Заказ,Аккумулятор Samsung Galaxy A51 (EB-BA515),1,1188,1188,619,52.10437710437711,Иванов Сергей,Выдан
17.04.2025 - 10:25,Заказ,Аккумулятор Samsung Galaxy A51 (EB-BA515),2,1081,2162,1078,49.861239592969476,Администратор,Выдан
17.04.2025 - 11:46,Продажа,Защитное стекло 3D для iPhone 11/XR,1,494,494,446,90.2834008097166,Сидоров Алексей,
17.04.2025 - 12:46,Продажа,Защитное стекло 3D для iPhone 11/XR,1,462,462,412,89.17748917748918,Иванов Сергей,
17.04.2025 - 13:57,Продажа,Защитное стекло 3D для iPhone 11/XR,1,488,488,438,89.75409836065575,Петров Роман,
17.04.2025 - 14:09,Заказ,Чехол силиконовый прозрачный,1,292,292,231,79.1095890410959,Сидоров Алексей,Выдан
17.04.2025 - 16:24,Заказ,Чистка системы охлаждения с заменой термопасты,1,1647,1647,1544,93.74620522161506,Петров Роман,Выдан
17.04.2025 - 18:07,Заказ,Диагностика,1,517,517,517,100.0,Иванов Сергей,Выдан
17.04.2025 - 19:48,Заказ,Чистка системы охлаждения с заменой термопасты,1,1509,1509,1414,93.70444002650761,Иванов Сергей,Выдан
18.04.2025 - 15:19,Заказ,Кабель USB - Lightning (Foxconn),1,653,653,508,77.7947932618683,Сидоров Алексей,Выдан
18.04.2025 - 16:54,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1164,1164,1068,91.75257731958763,Петров Роман,Выдан
18.04.2025 - 18:28,Заказ,Установка Windows 10/11 + Драйвера,2,1171,2342,2342,100.0,Петров Роман,Выдан
19.04.2025 - 10:46,Заказ,SSD накопитель Kingston 240GB,1,2022,2022,467,23.095944609297725,Иванов Сергей,Выдан
19.04.2025 - 13:01,Продажа,Чехол силиконовый прозрачный,1,324,324,266,82.09876543209876,Петров Роман,
20.04.2025 - 11:03,Заказ,Защитное стекло 3D для iPhone 11/XR,1,540,540,489,90.55555555555556,Сидоров Алексей,Выдан
20.04.2025 - 14:46,Заказ,Чистка системы охлаждения с заменой термопасты,2,1591,3182,2978,93.58893777498429,Петров Роман,Выдан
20.04.2025 - 15:05,Заказ,16GB USB 2.0 Flash Drive SmartBuy,1,473,473,266,56.236786469344615,Администратор,Выдан
20.04.2025 - 15:09,Продажа,Чехол силиконовый прозрачный,1,285,285,227,79.64912280701755,Петров Роман,
20.04.2025 - 19:36,Заказ,Наклейка защитного стекла (Услуга),2,183,366,366,100.0,Иванов Сергей,Выдан
21.04.2025 - 11:35,Заказ,Восстановление цепи питания,3,4551,13653,12138,88.9035376840255,Сидоров Алексей,Выдан
21.04.2025 - 12:10,Заказ,Чистка системы охлаждения с заменой термопасты,1,1578,1578,1477,93.59949302915082,Петров Роман,Выдан
21.04.2025 - 13:21,Заказ,Диагностика,1,469,469,469,100.0,Петров Роман,Выдан
21.04.2025 - 17:14,Продажа,Защитное стекло 3D для iPhone 11/XR,1,541,541,490,90.57301293900186,Администратор,
22.04.2025 - 11:02,Заказ,Кабель USB - Lightning (Foxconn),1,637,637,491,77.08006279434852,Сидоров Алексей,Выдан
23.04.2025 - 12:28,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1250,1250,1148,91.84,Петров Роман,Выдан
23.04.2025 - 17:33,Заказ,Прошивка Android/iOS,3,973,2919,2919,100.0,Петров Роман,Выдан
24.04.2025 - 10:48,Продажа,Чехол силиконовый прозрачный,1,317,317,258,81.38801261829653,Петров Роман,
24.04.2025 - 11:20,Заказ,16GB USB 2.0 Flash Drive SmartBuy,1,441,441,249,56.4625850340136,Сидоров Алексей,Выдан
24.04.2025 - 12:27,Продажа,Кабель USB - Lightning (Foxconn),1,546,546,390,71.42857142857143,Иванов Сергей,
24.04.2025 - 15:38,Продажа,Кабель USB - Lightning (Foxconn),1,583,583,430,73.75643224699829,Петров Роман,
24.04.2025 - 18:56,Заказ,Восстановление цепи питания,1,4620,4620,4112,89.00432900432901,Петров Роман,Выдан
25.04.2025 - 11:02,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1195,1195,1093,91.4644351464435,Сидоров Алексей,Выдан
25.04.2025 - 16:45,Заказ,Защитное стекло 3D для iPhone 11/XR,1,504,504,455,90.27777777777779,Сидоров Алексей,Выдан
26.04.2025 - 10:26,Продажа,Жесткий диск Seagate BarraCuda 1TB,1,3422,3422,381,11.13383985973115,Администратор,
26.04.2025 - 11:47,Продажа,Чехол силиконовый прозрачный,1,293,293,233,79.5221843003413,Администратор,
26.04.2025 - 11:56,Заказ,"15.6"" WXGA HD LED Глянцевый 40pin (NT156WH)",3,4416,13248,3813,28.781702898550726,Петров Роман,Выдан
26.04.2025 - 17:22,Заказ,Диагностика,1,450,450,450,100.0,Администратор,Выдан
26.04.2025 - 19:23,Заказ,Установка Windows 10/11 + Драйвера,2,1093,2186,2186,100.0,Иванов Сергей,Выдан
27.04.2025 - 10:19,Продажа,Чехол силиконовый прозрачный,1,300,300,239,79.66666666666666,Сидоров Алексей,
27.04.2025 - 11:02,Заказ,Кабель USB - Lightning (Foxconn),1,589,589,436,74.02376910016977,Иванов Сергей,Выдан
27.04.2025 - 13:13,Заказ,"15.6"" WXGA HD LED Глянцевый 40pin (NT156WH)",1,4052,4052,856,21.1253701875617,Иванов Сергей,Выдан
27.04.2025 - 19:14,Продажа,Чехол силиконовый прозрачный,1,294,294,233,79.25170068027211,Сидоров Алексей,
28.04.2025 - 10:17,Продажа,Чехол силиконовый прозрачный,1,299,299,238,79.59866220735786,Петров Роман,
28.04.2025 - 16:24,Заказ,Чехол силиконовый прозрачный,1,299,299,240,80.2675585284281,Иванов Сергей,Выдан
29.04.2025 - 15:22,Заказ,Блок питания Apple 20W (Copy),1,1208,1208,807,66.80463576158941,Сидоров Алексей,Выдан
30.04.2025 - 13:12,Заказ,Наклейка защитного стекла (Услуга),1,186,186,186,100.0,Администратор,Выдан
30.04.2025 - 17:04,Заказ,Чистка системы охлаждения с заменой термопасты,1,1609,1609,1505,93.53635798632692,Администратор,Выдан
01.05.2025 - 11:34,Заказ,Аккумулятор Samsung Galaxy A51 (EB-BA515),1,1307,1307,731,55.92960979342004,Иванов Сергей,Выдан
01.05.2025 - 12:40,Заказ,Прошивка Android/iOS,1,1060,1060,1060,100.0,Администратор,Выдан
01.05.2025 - 15:48,Заказ,Чехол силиконовый прозрачный,1,281,281,221,78.64768683274022,Администратор,Выдан
01.05.2025 - 17:12,Заказ,Защитное стекло 3D для iPhone 11/XR,1,483,483,432,89.44099378881988,Петров Роман,Выдан
02.05.2025 - 11:41,Заказ,Восстановление цепи питания,1,4669,4669,4155,88.99121867637609,Иванов Сергей,Выдан
02.05.2025 - 13:46,Заказ,Чистка системы охлаждения с заменой термопасты,1,1472,1472,1369,93.00271739130434,Иванов Сергей,Выдан
02.05.2025 - 14:21,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1217,1217,1115,91.61873459326212,Администратор,Выдан
02.05.2025 - 15:01,Заказ,Блок питания Apple 20W (Copy),1,1276,1276,881,69.04388714733543,Иванов Сергей,Выдан
02.05.2025 - 15:56,Продажа,Кабель USB - Lightning (Foxconn),2,580,1160,864,74.48275862068967,Петров Роман,
02.05.2025 - 18:21,Заказ,Дисплей iPhone 11 (Оригинал переклей),1,5659,5659,1882,33.256759144725216,Администратор,Выдан
02.05.2025 - 18:40,Заказ,Чистка системы охлаждения с заменой термопасты,1,1567,1567,1463,93.36311423101468,Сидоров Алексей,Выдан
03.05.2025 - 11:05,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1125,1125,1029,91.46666666666667,Администратор,Выдан
03.05.2025 - 15:48,Заказ,Наклейка защитного стекла (Услуга),1,205,205,205,100.0,Петров Роман,Выдан
03.05.2025 - 18:02,Заказ,Чистка системы охлаждения с заменой термопасты,1,1487,1487,1385,93.14055144586416,Иванов Сергей,Выдан
03.05.2025 - 19:03,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1097,1097,998,90.97538742023701,Иванов Сергей,Выдан
03.05.2025 - 19:31,Продажа,SSD накопитель Kingston 240GB,1,2164,2164,705,32.57855822550832,Иванов Сергей,
04.05.2025 - 10:08,Заказ,Чехол силиконовый прозрачный,1,303,303,243,80.19801980198021,Администратор,Выдан
04.05.2025 - 10:20,Продажа,Чехол силиконовый прозрачный,2,327,654,530,81.03975535168195,Сидоров Алексей,
04.05.2025 - 15:56,Заказ,Прошивка Android/iOS,1,1055,1055,1055,100.0,Петров Роман,Выдан
04.05.2025 - 17:04,Продажа,Защитное стекло 3D для iPhone 11/XR,1,452,452,403,89.15929203539822,Сидоров Алексей,
05.05.2025 - 11:44,Продажа,Жесткий диск Seagate BarraCuda 1TB,1,3657,3657,757,20.700027344818157,Администратор,
06.05.2025 - 10:13,Заказ,Восстановление цепи питания,1,4479,4479,3969,88.61352980576022,Петров Роман,Выдан
06.05.2025 - 10:29,Заказ,Чехол силиконовый прозрачный,1,305,305,246,80.65573770491802,Иванов Сергей,Выдан
06.05.2025 - 10:40,Заказ,Кабель USB - Lightning (Foxconn),1,571,571,428,74.95621716287215,Администратор,Выдан
06.05.2025 - 12:12,Заказ,SSD накопитель Kingston 240GB,1,2405,2405,895,37.21413721413722,Сидоров Алексей,Выдан
06.05.2025 - 18:21,Продажа,Кабель USB - Lightning (Foxconn),1,541,541,399,73.75231053604436,Петров Роман,
06.05.2025 - 19:13,Заказ,Чехол силиконовый прозрачный,1,292,292,234,80.13698630136986,Сидоров Алексей,Выдан
07.05.2025 - 19:05,Заказ,Чехол силиконовый прозрачный,1,327,327,266,81.34556574923548,Администратор,Выдан
08.05.2025 - 10:30,Заказ,Диагностика,1,539,539,539,100.0,Иванов Сергей,Выдан
08.05.2025 - 14:42,Заказ,Защитное стекло 3D для iPhone 11/XR,1,527,527,476,90.32258064516128,Петров Роман,Выдан
09.05.2025 - 16:32,Заказ,Диагностика,1,502,502,502,100.0,Петров Роман,Выдан
09.05.2025 - 17:31,Заказ,Прошивка Android/iOS,1,1055,1055,1055,100.0,Администратор,Выдан
09.05.2025 - 19:23,Продажа,Чехол силиконовый прозрачный,1,304,304,244,80.26315789473685,Иванов Сергей,
10.05.2025 - 16:57,Заказ,Чехол силиконовый прозрачный,1,325,325,264,81.23076923076923,Петров Роман,Выдан
11.05.2025 - 10:05,Заказ,Чехол силиконовый прозрачный,1,319,319,257,80.56426332288402,Администратор,Выдан
11.05.2025 - 13:51,Заказ,Установка Windows 10/11 + Драйвера,1,1292,1292,1292,100.0,Петров Роман,Выдан
11.05.2025 - 15:24,Заказ,Диагностика,1,534,534,534,100.0,Сидоров Алексей,Выдан
12.05.2025 - 10:09,Продажа,Защитное стекло 3D для iPhone 11/XR,1,535,535,488,91.21495327102804,Сидоров Алексей,
12.05.2025 - 12:34,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1256,1256,1156,92.03821656050955,Администратор,Выдан
12.05.2025 - 15:34,Заказ,Наклейка защитного стекла (Услуга),1,219,219,219,100.0,Иванов Сергей,Выдан
12.05.2025 - 18:56,Заказ,Восстановление цепи питания,1,4841,4841,4357,90.00206568890725,Иванов Сергей,Выдан
12.05.2025 - 19:35,Заказ,Диагностика,1,519,519,519,100.0,Петров Роман,Выдан
13.05.2025 - 11:58,Продажа,Чехол силиконовый прозрачный,1,324,324,264,81.48148148148148,Петров Роман,
13.05.2025 - 14:42,Заказ,Наклейка защитного стекла (Услуга),1,183,183,183,100.0,Иванов Сергей,Выдан
